State,MortalityRate
,65.950274184647967
Johor,67.157618038295041
Kedah,77.4400294357681
Kelantan,65.800597418700335
Melaka,70.962961102249466
Negeri Sembilan,75.323342408085509
Pahang,58.214388701534823
Perak,81.752072423516438
Perlis,72.374667309997051
Pulau Pinang,68.15178942416135
Sabah,64.2
Sarawak,78.603295089596244
Selangor,53.188604820717153
Terengganu,70.854372371571472
W.P. Kuala Lumpur,62.345462842104148
W.P. Labuan,42.421130188215855
